"","text","id","witness","area","record_row_num"
"1","OSGOOD HENRY MACKENZIE, Proprietor and Farmer, Inverewe (41)—examined.",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",1
"2","29339. The Chairman.",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",2
"3","—The last witness told us that their fishing boats were made in whole or in part of larch wood. I see you have been an extensive planter; have you ever made any estimate of what the value of the wood would be in this country ?",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",3
"4","—No, I have not. At present I think the price of the wood is very low; much lower than what it was",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",4
"5","some years ago. ",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",5
"6","29340. Is that the case even with larch wood?",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",6
"7","—I cannot say. I have never sold any wood; my wood is all young; but I think it is all low.",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",7
"8","29341. You have probably planted your wood with a view to ornament ?",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",8
"9","—Yes; and the trees are quite young.",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",9
"10","29342. How do you find the larch thrive ?",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",10
"11","—It thrives very well in some parts, but I have planted it in rather bad soil. I think, however, planting would do a great deal of good to the country.",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",11
"12","29343. And would be eventually profitable?",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",12
"13","—I think so.",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",13
"14","29344. If you had, at the present time, larch in a state of maturity, would you not find a good market for the sale of the trees ? ",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",14
"15","—I have heard that the market is not good for any kind of wood —not very good.",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",15
"16","29345. But is there not a considerable improvement going on in the building of better houses ?",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",16
"17","—Yes, all the new houses are good compared with what they were.",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",17
"18","29346. And should that not create a demand for timber?",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",18
"19","—It should.",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",19
"20","29347. Have you planted a great deal of hard wood besides larch ?",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",20
"21","—No, I have planted but little altogether. If I had more money I should like to plant thousands of acres, but it is rather expensive work.",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",21
"22","29348. Planting involves not only the employment of labour, but a good deal of permanent labour?",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",22
"23","—A great deal. That can be seen in Loch Broom, which will give work for many years, and it has given a good deal of employment in Gairloch for many years.",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",23
"24","29349. Is the wood cut on the Gairloch estate used for the domestic purposes of the country as well as for roofing ?",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",24
"25","—Yes.",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",25
"26","29350. Also for fencing?",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",26
"27","—Yes, for the posts.",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",27
"28","29351. Is fencing increasing now in the country?",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",28
"29","—Very much; every body wants fences, even the crofters. ",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",29
"30","29352. So that the demand for stocks for wire fences would alone make a considerable market for the small wood ?",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",30
"31","—Except when people are using iron entirely. In this wet climate wood soon rots when it is not good.",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",31
"32","29353. Are you a sheep farmer ?",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",32
"33","—I am to a small extent.",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",33
"34","29354. What kind of sheep ?",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",34
"35","—About eight hundred cheviots.",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",35
"36","29355. We have heard a great deal about the deterioration of the pasture in this country owing to the extensive use of sheep upon the ground, is that consistent with your experience?",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",36
"37","—There is no doubt about it.",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",37
"38","29356. What do you attribute that to ?",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",38
"39","—Because the sheep feed during the day time and go up and lie on the rocks at night and leave the manure there; whereas cattle always lie on the best places at night.",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",39
"40","29357. You mix the cattle and sheep ?",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",40
"41","—Yes, but I have only lately taken to cattle.",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",41
"42","29358. Do you find the introduction of cattle both useful to the pasture and profitable in the market ?",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",42
"43","—It is certainly useful to the pasture, but I don't know that there will be much profit made out of them. ",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",43
"44","29359. What class of cattle do you use ?",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",44
"45","— Pure West Highland.",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",45
"46","29360. Do you find that shorthorn crosses are being introduced here ?",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",46
"47","—We have not tried them here, but it is a very good cross.",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",47
"48","29361. Has anyone tried it?",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",48
"49","—Nobody in this parish.",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",49
"50","29362. Do you think it is likely to be tried?",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",50
"51","—I don't think it is very likely; it is so troublesome to be constantly buying in fresh Highland heifers.",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",51
"52","29363. You would not like to see the cross propagate itself?",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",52
"53","—I don't think that is a very good system, getting cross bulls to the cross cows. It has not been found good with sheep.",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",53
"54","29364. Is there any improvement visible in the crofters' stock ?",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",54
"55","—A great improvement,",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",55
"56","29365. So that they are getting better prices?",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",56
"57","—Yes, four times what they got thirty-five years ago.",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",57
"58","29366. Mr Cameron.",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",58
"59","—What other employment have the people besides what they obtain on their own crofts in this district—apart from the wood planting ?",493,"Osgood Henry Mackenzie","Ross-shire, Poolewe",59
